,Formula,Translation
0,"∀ y ∃ x ( Dodec ( y ) → ( Cube ( x ) ∧ SameSize ( y , x ) ) )","for all y , there is an element x such that if y is a dodecahedron , then x is a cube and y is of the same size as x"
1,( ¬ Cube ( a ) ∨ ¬ Cube ( c ) ∨ ¬ Cube ( e ) ) → ( Cube ( a ) ∨ Cube ( c ) ∨ Cube ( e ) ),"if a is not a cube , c is not a cube or e is not a cube , then a is a cube , c is a cube or e is a cube"
2,"¬ ∃ x ∃ y ∃ z ( BackOf ( x , y ) ∧ Cube ( y ) ∧ FrontOf ( x , z ) ∧ Cube ( z ) ∧ Large ( x ) )","it is not the case that there is an element x such that there is an element y such that there is an element z such that x is in back of y , y is a cube , x is in front of z , z is a cube and x is large"
3,"∀ x ∀ y ( RightOf ( y , x ) → ¬ Cube ( y ) )","for all x , for all y , if y is to the right of x , then y is not a cube"
4,∃ x ∃ y ( Cube ( x ) ∧ Tet ( y ) ∧ ∀ z ( Tet ( z ) ∨ Cube ( z ) ) ),"there is an element x such that there is an element y such that x is a cube , y is a tetrahedron and for all z , z is a tetrahedron or z is a cube"
5,"∀ x ( ∃ y ∃ z ( Cube ( y ) ∧ Cube ( z ) ∧ FrontOf ( x , y ) ∧ FrontOf ( z , x ) ) → ¬ Large ( x ) )","for all x , if there is an element y such that there is an element z such that y is a cube , z is a cube , x is in front of y and z is in front of x , then x is not large"
6,"LeftOf ( a , f ) ∧ LeftOf ( f , b )",a is to the left of f and f is to the left of b
7,Medium ( c ) → ( ¬ Cube ( d ) ∧ ¬ ( Cube ( e ) ∨ Cube ( f ) ) ),"if c is medium , then d is not a cube and it is not the case that e is a cube or f is a cube"
8,"∃ z ( RightOf ( b , z ) ∧ Cube ( z ) ∧ Large ( z ) )","there is an element z such that b is to the right of z , z is a cube and z is large"
9,"∀ x ∀ y ( BackOf ( y , x ) → ( SameSize ( y , x ) ∨ Larger ( y , x ) ) )","for all x , for all y , if y is in back of x , then y is of the same size as x or larger than x"
10,"∀ x1 ∀ x2 ( Larger ( a , a ) ∨ Prime ( x2 ) )","for all x1 , for all x2 , a is larger than itself or x2 is a prime"
11,"LeftOf ( a , a ) → ∃ x1 ∃ x1 LeftOf ( x1 , x1 )","if a is to the left of itself , then there is an element x1 such that there is an element x1 such that x1 is to the left of itself"
12,∀ x1 ( Person ( x2 ) ∨ Pet ( x2 ) ) ∧ ( Large ( x3 ) ∧ ∃ x1 Person ( x1 ) ),"for all x1 , x2 is a person or x2 is a pet , x3 is large and there is an element x1 such that x1 is a person"
13,¬ Even ( x1 ) ∧ ¬ ¬ Even ( a ),x1 is not even and it is not the case that a is not even
14,"¬ ( Larger ( a , x1 ) → Smaller ( b , x2 ) ) ∧ ¬ ( Medium ( x3 ) → Prime ( x3 ) )","it is not the case that if a is larger than x1 , then b is smaller than x2 and it is not the case that if x3 is medium , then x3 is a prime"
15,¬ ( Cube ( a ) ∨ ∃ x1 Dodec ( a ) ),it is not the case that a is a cube or there is an element x1 such that a is a dodecahedron
16,"∃ x1 ( ∀ x1 Smaller ( x2 , x1 ) → ∃ x3 Student ( a ) )","there is an element x1 such that if for all x1 , x2 is smaller than x1 , then there is an element x3 such that a is a student"
17,"∃ x1 ( Small ( a ) → SameCol ( x1 , x1 ) )","there is an element x1 such that if a is small , then x1 is in the same column as itself"
18,"∀ x1 ( ( Pet ( a ) ∧ BackOf ( a , x1 ) ) ∨ ( Small ( b ) ∧ Large ( x1 ) ) )","for all x1 , at least one of these holds : \item a is a pet and a is in back of x1 \item b is small and x1 is large"
19,"∀ x1 RightOf ( x2 , a ) ∧ ¬ ( Tet ( a ) → Dodec ( x1 ) )","for all x1 , x2 is to the right of a and it is not the case that if a is a tetrahedron , then x1 is a dodecahedron"
20,"¬ ∃ x1 ( SameShape ( a , b ) → SameRow ( x2 , x2 ) )",it is not the case that there is an element x1 such that a is in the same shape as b and x2 is in the same row as itself
21,∀ x1 ( Tet ( x1 ) ∨ Prime ( x2 ) ) ∨ ∃ x1 ( Person ( x1 ) → Student ( x2 ) ),"for all x1 , x1 is a tetrahedron or x2 is a prime or there is an element x1 such that x2 is a student"
22,"∃ x1 ∀ x2 Larger ( x1 , a ) ∧ ∀ x2 ¬ Pet ( x3 )","there is an element x1 such that for all x2 , x1 is larger than a and there is an element x1 such that for all x2 , x3 is not a pet"
23,"∃ x1 ( ( ( SameShape ( x1 , a ) ∧ Tet ( x1 ) ) → Adjoins ( x1 , a ) )","for all x1 , if x1 is of the same shape as a, then x1 is adjacent to a"
24,"∃ x1 Cube ( x1 ) ( Person ( a ) → Adjoins ( x1 , a ) )",there is a cube such that a is a person or x1 is adjacent to a
