,Formula,Translation
0,"∃ x ( Cube ( x ) ∧ Large ( x ) ∧ ∀ y ( ( Small ( y ) ∧ Cube ( y ) ) → BackOf ( y , x ) ) )","there is an element x such that x is a cube , x is large and for all y , if y is small and y is a cube , then y is in back of x"
1,"FrontOf ( e , d ) ∨ ( Tet ( e ) ∧ Large ( e ) )",at least one of these holds : \item e is in front of d \item e is a tetrahedron and e is large
2,"∀ x ∀ y ∀ z ( ( Small ( x ) ∧ Large ( y ) ) → FrontOf ( x , y ) )","for all x , for all y , for all z , if x is small and y is large , then x is in front of y"
3,"∃ x ∃ y ( Large ( x ) ∧ Cube ( x ) ∧ Small ( y ) ∧ Cube ( y ) ∧ FrontOf ( x , y ) )","there is an element x such that there is an element y such that x is large , x is a cube , y is small , y is a cube and x is in front of y"
4,"¬ ∃ x ∀ y ( Dodec ( x ) ∧ ¬ RightOf ( y , x ) ∧ ¬ Small ( x ) )","it is not the case that there is an element x such that for all y , x is a dodecahedron , y is not to the right of x and x is not small"
5,"∀ y ( Cube ( y ) → ( ¬ SameCol ( y , a ) ∧ ¬ SameCol ( b , y ) ) )","for all cubes y , y is not in the same column as a and b is not in the same column as y"
6,"∀ x ( ∃ y ( Cube ( y ) ∧ Large ( y ) ∧ Large ( y ) ∧ RightOf ( x , y ) ) → Small ( x ) )","for all x , if there is an element y such that y is a cube , y is large , y is large and x is to the right of y , then x is small"
7,"∀ x ( ( Dodec ( x ) ∧ ∃ y ( Cube ( y ) ∧ SameSize ( x , y ) ) ) ∨ ¬ Dodec ( x ) )","for all x , at least one of these holds : \item x is a dodecahedron and x is of the same size as some cube \item x is not a dodecahedron"
8,"∀ x ∀ y ∀ z ( ( BackOf ( x , y ) ∧ Cube ( y ) ∧ FrontOf ( x , z ) ∧ Cube ( z ) ) → ¬ Large ( x ) )","for all x , for all y , for all z , if x is in back of y , y is a cube , x is in front of z and z is a cube , then x is not large"
9,"∀ x ( Dodec ( x ) → ∀ y ( ( Cube ( y ) ∧ FrontOf ( x , y ) ) → Larger ( x , y ) ) )","for all dodecahedrons x , for all y , if y is a cube and x is in front of y , then x is larger than y"
10,"¬ ∃ x1 SameRow ( x1 , a ) → ∃ x2 ∃ x3 Cube ( x3 )","if it is not the case that there is an element x1 such that x1 is in the same row as a , then there is an element x2 such that there is an element x3 such that x3 is a cube"
11,( Student ( x1 ) ∧ ( Prime ( a ) ∧ Even ( x2 ) ) ) → Person ( x1 ),"if x1 is a student , a is a prime and x2 is even , then x1 is a person"
12,"¬ ( ∀ x1 Medium ( a ) ∧ ( RightOf ( a , a ) ∧ Small ( x2 ) ) )","it is not the case that for all x1 , a is medium , a is to the right of itself and x2 is small"
13,"¬ ( ( Adjoins ( a , a ) ∧ Pet ( x1 ) ) → ∃ x1 Large ( a ) )","it is not the case that if a is adjacent to itself and x1 is a pet , then there is an element x1 such that a is large"
14,"∃ x1 BackOf ( a , a )",there is an element x1 such that a is in back of itself
15,( ∃ x1 Dodec ( a ) ∨ ∃ x1 Large ( x1 ) ) ∧ ∀ x2 ∀ x1 Dodec ( x2 ),"all these hold : \item there is an element x1 such that a is a dodecahedron or there is an element x1 such that x1 is large \item for all x2 , for all x1 , x2 is a dodecahedron"
16,∀ x1 ( Large ( a ) ∨ Medium ( x1 ) ) ∧ ( ∃ x2 Person ( b ) ∨ ¬ Dodec ( a ) ),"all these hold : \item for all x1 , a is large or x1 is medium \item there is an element x2 such that b is a person or a is not a dodecahedron"
17,"∀ x1 ( ( Adjoins ( a , a ) ∨ Student ( b ) ) ∧ ( LeftOf ( x2 , a ) ∨ Cube ( x1 ) ) )","for all x1 , all these hold : \item a is adjacent to itself or b is a student \item x2 is to the left of a or x1 is a cube"
18,"∃ x1 ( ( Larger ( a , a ) ∧ Even ( b ) ) → ( Dodec ( a ) ∨ Small ( x2 ) ) )","there is an element x1 such that if a is larger than itself and b is even , then a is a dodecahedron or x2 is small"
19,∃ x1 ( Even ( a ) ∨ Even ( b ) ) → ∃ x1 ∃ x2 Person ( x3 ),"if there is an element x1 such that a or b is even , then there is an element x1 such that there is an element x2 such that x3 is a person"
20,"¬ ∃ x1 ( SameShape ( a , b ) → SameRow ( x2 , x2 ) )",it is not the case that there is an element x1 such that a is in the same shape as b and x2 is in the same row as itself
21,∀ x1 ( Tet ( x1 ) ∨ Prime ( x2 ) ) ∨ ∃ x1 ( Person ( x1 ) → Student ( x2 ) ),"for all x1 , x1 is a tetrahedron or x2 is a prime or there is an element x1 such that x2 is a student"
22,"∃ x1 ∀ x2 Larger ( x1 , a ) ∧ ∀ x2 ¬ Pet ( x3 )","there is an element x1 such that for all x2 , x1 is larger than a and there is an element x1 such that for all x2 , x3 is not a pet"
23,"∃ x1 ( ( ( SameShape ( x1 , a ) ∧ Tet ( x1 ) ) → Adjoins ( x1 , a ) )","for all x1 , if x1 is of the same shape as a, then x1 is adjacent to a"
24,"∃ x1 Cube ( x1 ) ( Person ( a ) → Adjoins ( x1 , a ) )",there is a cube such that a is a person or x1 is adjacent to a
